,code,company,old_price,new_price,returns
17,066980,이엔코퍼레이션,1380,12400,798.5507246376812
107,024810,이화전기,294,2415,721.4285714285713
21,053290,NE능률,7510,26400,251.5312916111851
51,015020,이스타코,1200,3730,210.83333333333334
142,092590,럭스피아,1965,5800,195.16539440203564
247,317530,캐리소프트,6200,18250,194.3548387096774
32,092200,디아이씨,3065,7120,132.30016313213704
228,004830,덕성,12200,27950,129.0983606557377
79,058430,포스코강판,27150,62000,128.3609576427256
12,181340,이즈미디어,16950,37050,118.58407079646018
295,013360,일성건설,1280,2770,116.40625
254,001230,동국제강,10100,21550,113.36633663366338
76,011200,HMM,22100,45050,103.84615384615384
143,104480,티케이케미칼,3115,6170,98.07383627608345
99,013720,청보산업,14400,28100,95.13888888888889
111,016880,웅진,1780,3455,94.10112359550563
83,001430,세아베스틸,17000,31400,84.70588235294119
269,217190,제너셈,5230,9600,83.55640535372848
244,023810,인팩,7050,12500,77.30496453900709
283,007160,사조산업,42650,75300,76.55334114888628
214,083650,비에이치아이,3645,6400,75.5829903978052
56,011090,에넥스,1890,3270,73.01587301587303
294,047040,대우건설,5410,9050,67.28280961182995
3,194480,데브시스터즈,60200,100400,66.77740863787376
24,298020,효성티앤씨,447500,741000,65.58659217877094
133,194370,제이에스코퍼레이션,11500,18850,63.913043478260875
164,123330,제닉,5710,9300,62.87215411558669
0,050120,ES큐브,4305,6870,59.58188153310105
71,010690,화신,5080,8070,58.85826771653544
271,067370,선바이오,21800,34500,58.256880733944946
202,043290,케이맥,2400,3785,57.70833333333334
257,092300,현우산업,4005,6290,57.053682896379534
287,005850,에스엘,22300,34900,56.50224215246637
106,042700,한미반도체,21600,33600,55.55555555555556
114,072770,율호,2395,3700,54.48851774530272
191,058970,엠로,17700,27000,52.542372881355924
273,054410,케이피티유,7720,11750,52.20207253886011
226,053160,프리엠스,17050,25950,52.19941348973607
27,019490,하이트론씨스템즈,7210,10900,51.17891816920943
296,024070,WISCOM,3410,5130,50.43988269794721
69,287410,제이시스메디칼,3695,5540,49.93234100135317
96,299910,베스파,17600,26200,48.86363636363635
256,123700,에스제이엠,4085,5950,45.65483476132191
159,223220,아이피몬스터,440,638,44.99999999999999
167,298000,효성화학,224000,321500,43.52678571428572
231,266170,뿌리깊은나무들,1400,1995,42.50000000000001
158,060900,대한그린파워,1680,2355,40.178571428571416
242,002690,동일제강,3370,4680,38.87240356083086
4,238500,로보쓰리,1775,2450,38.0281690140845
103,001360,삼성제약,6330,8710,37.59873617693523
206,270520,지엔원에너지,3660,5010,36.88524590163935
179,232680,라온테크,17550,24000,36.75213675213676
33,025950,동신건설,39050,53300,36.49167733674776
93,086890,이수앱지스,11600,15800,36.206896551724135
196,002840,미원상사,159500,217000,36.05015673981191
289,333430,일승,2790,3780,35.48387096774193
84,053260,금강철강,5600,7560,35.00000000000001
112,025870,신라에스지,14350,19250,34.14634146341464
232,084180,수성이노베이션,2135,2860,33.957845433255265
127,011300,성안,590,787,33.389830508474574
153,228340,동양파일,5110,6810,33.26810176125245
238,089970,에이피티씨,20000,26650,33.25
252,306040,에스제이그룹,21850,29100,33.180778032036606
39,050960,수산아이앤티,25250,33550,32.87128712871288
