,code,company,old_price,new_price,returns
0,050120,ES큐브,566,4305,660.6007067137809
1,073070,에이팸,407,2035,400.0
2,065620,제낙스,3190,15950,400.0
3,004140,동방,2240,11200,400.0
4,194480,데브시스터즈,13400,60200,349.25373134328356
5,238500,로보쓰리,430,1775,312.79069767441865
6,121850,코이즈,1275,4740,271.7647058823529
7,048410,현대바이오,13650,49600,263.3699633699634
8,053270,구영테크,1690,5290,213.01775147928996
9,171090,선익시스템,6580,20200,206.99088145896658
10,045340,토탈소프트,5030,15250,203.18091451292247
11,087730,이엠네트웍스,2720,8160,200.0
12,053060,세동,744,2230,199.7311827956989
13,181340,이즈미디어,5710,16950,196.84763572679512
14,020560,아시아나항공,5130,15050,193.37231968810914
15,096040,이트론,307,895,191.53094462540716
16,006220,제주은행,3325,9050,172.18045112781954
17,009070,케이씨티시,3900,10500,169.23076923076925
18,066980,이엔코퍼레이션,514,1380,168.48249027237352
19,279060,이노벡스,2480,6650,168.1451612903226
20,073190,듀오백,2940,7750,163.60544217687075
21,046390,삼화네트웍스,1650,4330,162.4242424242424
22,053290,NE능률,2945,7510,155.00848896434633
23,160550,NEW,4290,10750,150.58275058275058
24,103660,씨앗,2950,7390,150.50847457627117
25,298020,효성티앤씨,182000,447500,145.8791208791209
26,211270,AP위성,6960,17000,144.25287356321837
27,900070,글로벌에스엠,530,1290,143.39622641509436
28,019490,하이트론씨스템즈,3000,7210,140.33333333333334
29,036030,KTH,5380,12750,136.98884758364312
30,151910,나노스,3335,7600,127.88605697151425
31,156100,엘앤케이바이오,16750,37750,125.37313432835822
32,032300,한국파마,20650,46200,123.72881355932202
33,092200,디아이씨,1385,3065,121.29963898916967
34,025950,동신건설,18350,39050,112.80653950953679
35,035080,인터파크,2345,4970,111.94029850746267
36,032860,휴먼엔,5340,11300,111.61048689138578
37,009520,포스코엠텍,4730,9940,110.14799154334037
38,189300,인텔리안테크,36350,76300,109.90371389270979
39,299900,위지윅스튜디오,4400,9200,109.09090909090908
40,050960,수산아이앤티,12100,25250,108.67768595041323
41,099320,쎄트렉아이,28900,60000,107.61245674740482
42,149950,아바텍,8220,17050,107.42092457420927
43,298050,효성첨단소재,148000,306000,106.75675675675676
44,078890,가온미디어,6180,12600,103.88349514563106
45,222080,씨아이에스,6690,13600,103.28849028400597
46,004490,세방전지,40850,82400,101.71358629130967
47,297570,알로이스,2375,4750,100.0
48,042420,네오위즈홀딩스,16300,32400,98.77300613496934
49,004560,현대비앤지스틸,9570,19000,98.53709508881923
50,011500,한농화성,8040,15950,98.38308457711442
51,256840,한국비엔씨,3710,7310,97.03504043126685
52,015020,이스타코,610,1200,96.72131147540983
53,019570,리더스 기술투자,522,1025,96.36015325670498
54,038880,아이에이,747,1455,94.77911646586345
55,056080,유진로봇,2410,4635,92.32365145228216
56,090360,로보스타,13000,24700,89.99999999999999
57,011090,에넥스,995,1890,89.9497487437186
58,139670,키네마스터,27050,51000,88.53974121996305
59,232530,이엠티,2430,4500,85.18518518518519
60,218150,미래생명자원,3255,6020,84.94623655913978
61,299030,하나기술,68700,126900,84.71615720524017
62,010060,OCI,67700,125000,84.63810930576071
63,258250,셀젠텍,8630,15900,84.24101969872537
64,274090,켄코아에어로스페이스,8300,15150,82.53012048192771
65,033170,시그네틱스,763,1385,81.52031454783749
66,034300,신세계건설,23000,41550,80.65217391304347
67,047080,한빛소프트,3585,6450,79.91631799163179
68,013520,화승코퍼레이션,2030,3650,79.80295566502463
69,083420,그린케미칼,6530,11700,79.17304747320063
70,287410,제이시스메디칼,2070,3695,78.5024154589372
71,189980,흥국에프엔비,1940,3440,77.31958762886597
72,010690,화신,2865,5080,77.31239092495636
73,024900,덕양산업,1760,3120,77.27272727272727
74,067730,로지시스,5100,9000,76.47058823529412
75,004090,한국석유공업,96000,168500,75.52083333333333
